n,type,avg_time_micro
28700,random,4690.8
28700,reversed,2699.2
28700,nearly,2794.6
28800,random,4596.2
28800,reversed,2625.6
28800,nearly,2838
28900,random,4752.4
28900,reversed,2616.8
28900,nearly,2886
29000,random,4723.4
29000,reversed,2671.8
29000,nearly,2759.6
29100,random,4685.8
29100,reversed,2645.6
29100,nearly,2800.4
29200,random,4747.8
29200,reversed,2729.4
29200,nearly,2736
29300,random,4761
29300,reversed,2712.6
29300,nearly,2870.6
29400,random,4799.2
29400,reversed,2632.6
29400,nearly,2906.4
29500,random,4938.2
29500,reversed,2840.8
29500,nearly,2888.6
29600,random,4835.2
29600,reversed,2709.8
29600,nearly,2956.2
29700,random,4878.6
29700,reversed,2794.6
29700,nearly,2865.4
29800,random,4811.4
29800,reversed,2710.4
29800,nearly,2898.2
29900,random,4858.2
29900,reversed,2935.4
29900,nearly,2926.4
30000,random,4843.4
30000,reversed,2947.2
30000,nearly,2941.4
30100,random,4841.8
30100,reversed,2813.6
30100,nearly,2973.6
30200,random,4985
30200,reversed,2819.2
30200,nearly,3063
30300,random,4969.8
30300,reversed,2848.8
30300,nearly,2868.4
30400,random,4925
30400,reversed,2773.8
30400,nearly,3000.4
30500,random,5055.4
30500,reversed,2793
30500,nearly,3088
30600,random,5119
30600,reversed,2889.2
30600,nearly,3019
30700,random,5058.4
30700,reversed,2807.6
30700,nearly,2936
30800,random,5049.8
30800,reversed,2828.8
30800,nearly,3038
30900,random,5209
30900,reversed,2880.4
30900,nearly,2963
31000,random,5012.2
31000,reversed,2811
31000,nearly,3005
31100,random,5107.6
31100,reversed,2857.4
31100,nearly,3022.2
31200,random,5103.6
31200,reversed,2868.6
31200,nearly,2986
31300,random,5078
31300,reversed,2932.2
31300,nearly,3110.6
31400,random,5152.6
31400,reversed,2976.6
31400,nearly,3090.8
31500,random,5174.2
31500,reversed,2879
31500,nearly,3100
31600,random,5181.2
31600,reversed,3001.2
31600,nearly,3088.6
31700,random,5203.8
31700,reversed,2872.8
31700,nearly,3032.2
31800,random,5217.6
31800,reversed,2943.8
31800,nearly,2989.6
31900,random,5246.4
31900,reversed,2996.4
31900,nearly,3160
32000,random,5332.2
32000,reversed,2926.8
32000,nearly,3194.2
32100,random,5227
32100,reversed,2964
32100,nearly,3024.4
32200,random,5305
32200,reversed,2950.8
32200,nearly,3086.2
32300,random,5308.2
32300,reversed,2936.2
32300,nearly,3061.2
32400,random,5351.4
32400,reversed,2993
32400,nearly,3117.4
32500,random,5332.8
32500,reversed,2979.6
32500,nearly,3146.8
32600,random,5354.4
32600,reversed,3080
32600,nearly,3202.2
32700,random,5505
32700,reversed,3033.6
32700,nearly,3280.6
32800,random,5429
32800,reversed,2975.4
32800,nearly,3187.2
32900,random,5442.8
32900,reversed,3076.4
32900,nearly,3292.6
33000,random,5352.6
33000,reversed,3077.2
33000,nearly,3200.6
33100,random,5499
33100,reversed,3020.6
33100,nearly,3246
33200,random,5500.2
33200,reversed,2994.6
33200,nearly,3287.6
33300,random,5457.6
33300,reversed,3153.4
33300,nearly,3231.6
33400,random,5494.4
33400,reversed,3038.2
33400,nearly,3218
